date,close,high,low,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,ema_5,ema_50,ema_200,roc
2020-07-29,72.1,74.4,71.1,289841335,,,,,,,,,,
2020-07-30,71.45,72.3,71.3,85441650,,,,,,,,,,
2020-08-04,64.75,72.15,64.75,772145341,,,,,,,,,,
2020-08-05,63.5,66.85,62.05,523807030,,,,,,,,,,
2020-08-06,62.5,64.45,62.15,461201645,,,,,,,65.83580246913581,,,
2020-08-07,62.6,63.6,61.15,549488829,,,,,,,64.75720164609055,,,
2020-08-10,64.7,65.15,62.45,587212430,,,,,,,64.73813443072704,,,
2020-08-11,65.45,66.8,64.25,583843271,,,,,,,64.97542295381804,,,
2020-08-12,67.2,67.2,65.45,483765655,,,,,,,65.7169486358787,,,
2020-08-13,67.45,68.2,66.4,474395761,,,,,,,66.29463242391914,,,
2020-08-14,67.2,68.05,65.9,304856117,,,,,,,66.5964216159461,,,
2020-08-17,66.85,67.5,66.8,140571940,,,,,,,66.68094774396407,,,
2020-08-18,66.7,68.5,66.7,262686232,,,,,,,66.68729849597605,,,-7.4895977808599055
2020-08-19,70.05,71.0,68.5,777080449,56.72143233491284,,,,,,67.80819899731738,,,-1.959412176347104
2020-08-20,68.65,70.25,68.4,249580219,50.1533383118477,,,,,,68.08879933154492,,,6.0231660231660324
2020-08-21,68.0,69.4,67.5,237738136,47.40849029804436,,,,,,68.05919955436329,,,7.086614173228346
2020-08-24,69.55,69.85,67.35,258551228,53.88922054146908,,,,,,68.5561330362422,,,11.279999999999996
2020-08-25,69.6,69.75,68.1,231392189,54.08577304180456,,,,,,68.90408869082813,,,11.18210862619807
2020-08-26,71.65,71.7,68.45,404018941,61.35851892667135,,,,,,69.8193924605521,,,10.741885625966
2020-08-27,71.1,72.65,70.85,222120127,58.673267694678124,,,,73.37379495902758,61.73120504097241,70.24626164036806,,,8.63254392666156
2020-08-28,69.8,71.4,69.7,144060854,52.79233421056759,,,,72.97905889619518,61.895941103804816,70.09750776024538,,,3.86904761904761
2020-08-31,67.85,70.2,67.4,397307768,45.435700078088324,,,,72.4913585192953,62.02364148070471,69.34833850683026,,,0.5930318754632935
2020-09-01,67.75,69.1,67.3,291265397,45.088702770013306,,,,72.5157555730895,62.29924442691049,68.8155590045535,,,0.8184523809523767
2020-09-02,68.2,68.25,67.75,160270081,47.04847043771864,,,,72.43262264978675,62.85237735021327,68.61037266970234,,,2.019446522064336
2020-09-03,67.45,68.4,67.3,159954299,44.21605894274189,,,,72.06355963177717,63.716440368222834,68.22358177980156,,,1.1244377811094453
